Year,Nhat,CV
1967_1968,13426.00,0.094
1968_1969,14548.00,0.080
1969_1970,14553.00,0.083
1970_1971,12771.00,0.081
1971_1972,11079.00,0.093
1972_1973,17365.00,0.080
1973_1974,17375.00,0.082
1974_1975,15290.00,0.084
1975_1976,17564.00,0.086
1976_1977,18377.00,0.080
1977_1978,19538.00,0.088
1978_1979,15384.00,0.080
1979_1980,19763.00,0.083
1984_1985,23499.00,0.089
1985_1986,22921.00,0.082
1987_1988,26916.00,0.058
1992_1993,15762.00,0.068
1993_1994,20103.00,0.055
1995_1996,20944.00,0.061
1997_1998,21135.00,0.068
2000_2001,16369.00,0.061
2001_2002,16033.00,0.069
2006_2007,19126.00,0.071
