"obs","ID"
"ADV",1
"ARL",2
"BLH",3
"BLT",4
"CAL",5
"CSM",6
"DJR",7
"DWW",8
"EIA",9
"GMW",10
"IRC",11
"JDL",12
"JDR",13
"JJM",14
"JPB",15
"JWD",16
"JWG",17
"KMA",18
"KRS",19
"LTB",20
"MAD",21
"MJG",22
"MLD",23
"MLT",24
"MSL",25
"NEB",26
"RCH",27
"RLB",28
"SBR",29
"SEH",30
"SJC",31
"SLR",32
"TSW",33
"VLP",34
"WLP",35
"No obs",36
"PCF",37
"MHS",38
"AKK",39
"KHD",40
"HME",41
"KXD",42
"SDM",43
"DXB",44
"AEH",45
"DBX",46
"JDS",47
"BJB",48
"CLP",49
"BWT",50
"TXE",51
"BHT",52
"ACH",53
"GEL",54
"AFH",55
"HMC",56
"JAP",57
"NMK",58
"SRB",59
"KAF",60
"JSD",61
"ACB",62
"JAS",63
"DUB",64
"JEM",65
"ANF",66
